"time
References : ['VIout','VQout']
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real","VIout
References : []
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real","VQout
References : []
Dependency : [time]
Num. Points : [2335]
Matrix Size : scalar
Type : Real"
2.670000000000000  sec,-0.001285620169840,0.001443146802701
2.685000000000000  sec,-0.001285620172511,0.001443146791586
2.700000000000000  sec,-0.001285620176101,0.001443146788312
2.715000000000000  sec,-0.001285620164231,0.001443146777765
2.730000000000000  sec,-0.001247699708955,0.001477327206819
2.745000000000000  sec,-0.001247699740766,0.001477327210076
2.760000000000000  sec,-0.001247699695943,0.001477327205651
2.775000000000000  sec,-0.001247699701853,0.001477327179387
2.790000000000000  sec,-0.001247699715977,0.001477327181693
2.805000000000000  sec,-0.001247699725041,0.001477327177860
2.820000000000000  sec,-0.001199004729845,0.001518834408794
2.835000000000000  sec,-0.001199004723729,0.001518834404397
2.850000000000000  sec,-0.001199004708805,0.001518834411448
2.865000000000000  sec,-0.001199004724307,0.001518834418726
2.880000000000000  sec,-0.001199004716313,0.001518834403266
2.895000000000000  sec,-0.001199004725621,0.001518834419205
2.910000000000000  sec,-0.001199004715281,0.001518834397711
2.925000000000000  sec,-0.001137528449184,0.001567184499105
2.940000000000000  sec,-0.001137528433437,0.001567184504131
2.955000000000000  sec,-0.001137528440956,0.001567184509060
2.970000000000000  sec,-0.001137528437172,0.001567184516526
2.985000000000000  sec,-0.001137528438957,0.001567184523989
3.000000000000000  sec,-0.001137528440269,0.001567184521586
3.015000000000000  sec,-0.001137528448074,0.001567184519376
3.030000000000000  sec,-0.001069900027169,0.001615878916837
3.045000000000000  sec,-0.001069900017997,0.001615878934889
3.060000000000000  sec,-0.001069900014335,0.001615878914812
3.075000000000000  sec,-0.001069900024956,0.001615878933157
3.090000000000000  sec,-0.001069900034047,0.001615878913706
3.105000000000000  sec,-0.001069900026543,0.001615878920988
3.120000000000000  sec,-0.001003854854826,0.001658936350979
3.135000000000000  sec,-0.001003854873444,0.001658936350978
3.150000000000000  sec,-0.001003854882718,0.001658936368440
3.165000000000000  sec,-0.001003854844096,0.001658936353436
3.180000000000000  sec,-0.001003854870234,0.001658936365161
3.195000000000000  sec,-0.001003854868060,0.001658936374119
3.210000000000000  sec,-0.001003854875016,0.001658936368415
3.225000000000000  sec,-0.000936838903943,0.001699490122219
3.240000000000000  sec,-0.000936838908182,0.001699490122017
3.255000000000000  sec,-0.000936838879123,0.001699490103260
3.270000000000000  sec,-0.000936838887069,0.001699490110641
3.285000000000000  sec,-0.000936838896836,0.001699490109601
3.300000000000000  sec,-0.000936838900414,0.001699490130445
3.315000000000000  sec,-0.000936838873739,0.001699490108500
